stock_code,selling_months,mean_price,std_price,price_cv
21322,2,4.3282,3.9199,0.9057
21323,8,4.4264,0.9936,0.2245
21324,18,3.1561,0.4168,0.1321
21326,25,0.6568,0.0395,0.0601
21327,25,1.8077,0.2686,0.1486
21328,25,1.9951,0.3630,0.1819
21329,25,1.8824,0.3325,0.1767
21330,10,1.7642,0.1842,0.1044
21331,15,13.7655,4.2933,0.3119
21332,17,13.6275,6.2266,0.4569
21333,17,3.0213,0.0875,0.0290
21335,6,24.4805,4.1650,0.1701
21336,14,2.8954,1.6958,0.5857
21337,4,3.0144,0.1287,0.0427
21338,5,5.6169,0.8978,0.1598
21339,7,19.2542,1.1885,0.0617
21340,22,11.4886,1.2694,0.1105
21341,5,5.4892,1.3828,0.2519
21343,2,4.4500,0.7071,0.1589
21344,15,10.9580,4.4602,0.4070
21347,3,5.9500,0.0000,0.0000
21348,14,2.8433,0.5257,0.1849
21349,11,8.4001,2.4750,0.2946
21350,6,2.9207,0.0718,0.0246
21351,13,6.1638,1.3569,0.2201
21352,15,5.6828,2.3075,0.4060
21353,1,8.4447,0.0000,
21354,24,1.2474,0.1247,0.0999
21355,24,1.2628,0.0453,0.0359
21356,25,1.2913,0.2210,0.1711
21357,15,1.2843,0.0626,0.0487
21358,25,1.2519,0.1696,0.1354
21359,19,16.1346,6.0984,0.3780
21360,19,8.8084,3.6599,0.4155
21361,18,13.3247,0.8487,0.0637
21363,21,5.4376,0.4431,0.0815
21364,22,7.4667,0.9831,0.1317
21365,21,2.9187,1.7985,0.6162
21366,23,6.0834,1.6360,0.2689
21367,20,2.3965,1.4822,0.6185
21368,21,2.2931,1.5484,0.6752
21369,17,3.1426,2.1998,0.7000
21370,12,7.8004,3.7001,0.4744
21371,23,2.6981,1.6619,0.6160
21372,16,2.8183,1.9583,0.6948
21373,13,1.6996,1.5520,0.9131
21374,20,2.9107,1.6562,0.5690
21375,24,7.4656,2.3945,0.3207
21376,22,5.9174,2.2133,0.3740
21377,24,2.0989,0.6147,0.2929
21378,24,1.8460,0.5968,0.3233
21379,25,1.6293,0.4715,0.2894
21380,25,2.9894,0.1397,0.0467
21381,25,1.8292,0.2727,0.1491
21382,19,2.3877,1.4045,0.5882
21383,25,0.8168,0.2300,0.2816
21384,6,0.8998,0.0782,0.0869
21385,24,0.8870,0.0623,0.0703
21386,21,0.6967,0.4045,0.5806
21387,2,0.8500,0.0000,0.0000
21388,4,1.0293,0.3586,0.3484
21389,25,0.8745,0.0288,0.0330
21390,25,1.2536,0.0766,0.0611
21391,24,2.0103,0.8658,0.4307
21392,15,2.2093,1.3118,0.5937
21393,12,1.6813,0.8865,0.5273
21394,21,1.3830,0.9838,0.7113
21395,19,1.3384,0.8304,0.6205
21396,6,1.2602,0.0709,0.0563
21397,18,1.3132,0.3685,0.2806
21398,17,2.0615,0.7059,0.3424
21399,18,1.9362,0.9447,0.4879
21400,22,0.3247,0.1854,0.5709
21401,25,0.3390,0.1928,0.5687
21402,25,0.3809,0.2291,0.6013
21403,24,0.3318,0.1614,0.4865
21406,1,8.6500,0.0000,
21407,24,4.8542,0.9401,0.1937
21408,25,5.2313,1.2014,0.2297
21409,1,4.2500,0.0000,
21410,13,5.1395,1.1361,0.2211
21411,25,4.4018,0.6351,0.1443
21412,8,1.6307,1.6628,1.0197
21413,16,1.3881,0.4359,0.3141
21414,12,2.5628,1.0634,0.4149
21415,25,2.4118,0.7099,0.2944
21416,13,3.9113,1.4631,0.3741
21417,25,2.8337,0.8380,0.2957
21418,23,3.2191,1.0720,0.3330
21419,7,4.2029,2.2491,0.5351
21420,20,3.6723,1.3284,0.3617
21421,18,1.2433,0.0851,0.0685
21422,24,0.9013,0.1732,0.1922
21424,23,4.0118,1.4081,0.3510
21425,23,3.6768,1.0757,0.2926
21426,24,2.7026,1.1973,0.4430
21427,23,2.7907,1.0424,0.3735
21428,22,4.2982,0.4943,0.1150
21429,23,1.8938,0.3378,0.1784
21430,20,3.9954,0.3933,0.0984
21431,12,1.7137,0.0861,0.0502
21432,12,5.9876,0.7083,0.1183
21437,4,3.5879,0.3003,0.0837
21438,4,3.6176,0.2648,0.0732
21439,25,1.3407,0.1351,0.1008
21440,8,1.2704,0.0282,0.0222
21441,24,0.9070,0.2280,0.2513
21442,25,0.9785,0.3228,0.3299
21443,4,4.0132,1.3984,0.3485
21444,5,4.3791,1.1553,0.2638
21445,18,1.2874,0.0853,0.0663
21446,25,1.3849,0.1999,0.1443
21447,22,1.4713,0.2072,0.1408
21448,23,1.7338,0.1120,0.0646
21450,1,5.9500,0.0000,
21452,22,3.1234,0.2579,0.0826
21454,22,0.9287,0.2031,0.2187
21455,23,0.9501,0.2002,0.2107
21456,11,1.3432,0.4097,0.3051
21457,11,1.3632,0.4204,0.3084
21458,12,1.4859,0.4990,0.3358
21459,8,2.2531,0.8020,0.3559
21460,7,2.3865,0.8153,0.3416
21461,8,2.5988,0.9879,0.3801
21462,24,6.9884,1.3518,0.1934
21463,25,5.7652,0.6984,0.1211
21464,25,4.2433,0.0236,0.0056
21465,25,3.8448,0.3198,0.0832
21466,25,3.8240,0.3353,0.0877
21467,25,3.8719,0.6802,0.1757
21468,23,3.9464,0.4762,0.1207
21469,25,3.7228,0.5130,0.1378
21470,25,3.9656,0.3411,0.0860
21471,25,3.7645,0.6047,0.1606
21472,18,3.9834,0.3250,0.0816
21473,22,20.5561,2.8430,0.1383
21474,9,19.9500,0.0000,0.0000
21475,1,14.9500,0.0000,
21476,19,15.6176,2.8378,0.1817
21477,4,12.4182,0.8580,0.0691
21478,11,4.2177,1.2026,0.2851
21479,17,4.7360,0.8771,0.1852
21480,1,3.1562,0.0000,
21481,25,3.1641,0.3812,0.1205
21482,10,3.3582,0.9341,0.2782
21484,25,4.4741,1.0608,0.2371
21485,25,4.9668,0.3528,0.0710
21486,13,3.7891,0.4474,0.1181
21488,13,4.6640,1.6030,0.3437
21489,2,4.8204,1.2309,0.2554
21490,2,1.9246,0.0359,0.0186
21491,9,1.8770,0.0882,0.0470
21493,2,0.8895,0.0559,0.0628
21494,25,2.0903,0.9157,0.4381
21495,25,0.4138,0.0122,0.0295
21496,1,0.4200,0.0000,
21497,25,0.4060,0.0186,0.0459
21498,25,0.4080,0.0130,0.0318
21499,25,0.4064,0.0153,0.0376
21500,25,0.4068,0.0134,0.0329
21503,20,0.4173,0.0119,0.0285
21504,25,0.4147,0.0194,0.0468
21506,25,0.4220,0.0292,0.0691
21507,25,0.4226,0.0227,0.0536
21508,25,0.4220,0.0229,0.0544
21509,25,0.4167,0.0162,0.0389
21511,2,0.4200,0.0000,0.0000
21518,19,0.4674,0.1291,0.2763
21519,25,0.4287,0.0328,0.0764
21520,24,0.4681,0.1174,0.2509
21523,25,7.1894,1.0414,0.1449
21524,25,7.3600,0.9072,0.1233
21525,1,6.7500,0.0000,
21527,18,7.6358,0.5647,0.0740
21528,25,7.3290,1.5740,0.2148
21529,10,3.7916,0.7629,0.2012
21530,25,2.4538,1.2508,0.5097
21531,25,2.5151,0.1432,0.0569
21532,11,2.0961,0.4600,0.2195
21533,25,4.9602,0.2146,0.0433
21534,25,5.1971,0.6466,0.1244
21535,25,2.5023,0.1396,0.0558
21536,4,2.1759,0.0714,0.0328
21537,25,4.3236,0.1895,0.0438
21538,12,3.6708,0.8019,0.2184
21539,24,5.0511,0.3181,0.0630
21540,10,4.4082,1.5754,0.3574
21541,12,0.8679,0.0403,0.0464
21542,10,0.8618,0.0481,0.0559
21543,1,0.7570,0.0000,
21544,25,0.8655,0.0735,0.0850
21545,8,2.8443,0.6441,0.2265
21547,15,3.0155,0.4366,0.1448
21548,12,3.1365,0.6200,0.1977
21549,5,2.6941,0.5280,0.1960
21550,6,6.2560,1.4442,0.2308
21551,2,5.4077,1.6338,0.3021
21552,4,5.5831,0.8263,0.1480
21553,4,6.2165,1.6721,0.2690
21554,2,5.1595,1.4276,0.2767
21555,25,2.7227,0.3101,0.1139
21556,21,2.9341,0.5898,0.2010
21557,25,3.7907,0.7034,0.1856
21558,23,2.6389,0.3179,0.1204
21559,25,2.5461,0.2448,0.0961
21560,1,3.8600,0.0000,
21561,25,2.5934,0.3060,0.1180
21562,22,1.6228,0.4813,0.2966
21563,25,3.0075,0.6268,0.2084
21564,25,2.9732,0.4960,0.1668
21576,24,2.3467,0.2674,0.1139
21577,25,2.3998,0.3374,0.1406
21578,25,2.4619,0.5672,0.2304
21579,24,2.2167,0.6024,0.2717
21580,24,2.6783,0.6884,0.2570
21581,25,2.3902,0.7344,0.3073
21582,2,1.6500,0.0000,0.0000
21584,25,1.6353,0.0430,0.0263
21585,1,1.6500,0.0000,
21586,23,2.4411,0.1369,0.0561
21587,14,2.5252,0.0450,0.0178
21588,25,2.4246,0.1455,0.0600
21589,7,2.3502,0.1252,0.0533
21590,12,1.2205,0.0493,0.0404
21591,24,1.2988,0.2042,0.1572
21592,25,1.1836,0.1743,0.1473
21593,6,1.2221,0.0683,0.0559
21594,5,4.2120,0.0602,0.0143
21595,4,8.5150,0.0900,0.0106
21596,4,4.2325,0.0450,0.0106
21609,21,2.8708,0.1498,0.0522
21610,12,2.9172,0.1376,0.0472
21611,11,2.9566,0.1155,0.0391
21612,10,2.9773,0.2163,0.0726
21613,22,2.9644,0.1099,0.0371
21614,15,3.0502,0.7687,0.2520
21615,24,3.3171,1.2510,0.3772
21616,24,3.2399,0.8184,0.2526
21617,23,3.3279,0.8061,0.2422
21618,23,3.3082,0.8240,0.2491
21619,24,3.2300,0.9482,0.2936
21620,24,3.2045,0.9533,0.2975
21621,25,8.9633,1.1692,0.1304
21622,25,5.2430,0.5376,0.1025
21623,23,8.5206,1.4750,0.1731
21624,25,6.2413,0.6665,0.1068
21625,25,7.4457,1.0621,0.1426
21626,24,2.1604,0.4816,0.2229
21627,23,21.2633,4.0661,0.1912
21628,22,20.9561,4.7066,0.2246
21629,25,10.3437,2.5052,0.2422
21630,24,12.8167,3.2099,0.2504
21631,18,11.9302,2.6644,0.2233
21632,12,12.1827,3.6498,0.2996
21633,19,14.5261,6.0445,0.4161
21634,21,1.1478,0.5073,0.4420
21635,16,3.5674,1.0151,0.2846
21636,20,2.1995,1.2580,0.5720
21637,17,1.3951,0.3185,0.2283
21638,22,2.1753,0.1515,0.0697
21639,2,0.8665,0.0233,0.0269
21640,24,0.9595,0.1523,0.1587
21641,22,0.9696,0.3576,0.3688
21642,23,0.7725,0.2847,0.3685
21643,24,1.4143,0.1893,0.1338
21644,23,1.3091,0.1866,0.1425
21645,12,1.6778,0.0402,0.0240
21647,20,2.2010,0.1817,0.0826
21648,24,1.4207,0.2896,0.2038
21649,2,2.6892,0.1968,0.0732
21650,23,0.5628,0.2604,0.4627
21651,15,1.6685,0.1369,0.0821
21652,9,1.9494,0.1506,0.0772
21653,11,2.0891,0.1048,0.0502
21654,20,1.3628,0.7577,0.5560
21655,10,1.7088,0.1204,0.0705
21656,18,1.7186,0.3252,0.1892
21657,15,7.7967,1.1989,0.1538
21658,21,4.3723,0.9178,0.2099
21659,11,15.6049,1.1592,0.0743
21661,14,6.2368,0.4633,0.0743
21662,20,6.5121,0.9288,0.1426
21663,5,6.2871,0.4217,0.0671
21664,20,4.0877,0.7022,0.1718
21665,6,0.7518,0.0827,0.1100
21666,24,0.8022,0.3407,0.4247
21667,13,17.5458,2.1475,0.1224
21668,25,1.3854,0.1932,0.1394
21669,23,1.3405,0.1320,0.0985
21670,25,1.4331,0.3129,0.2183
21671,22,1.3353,0.1387,0.1039
21672,25,1.3452,0.1824,0.1356
21673,25,1.3743,0.1997,0.1453
21674,4,16.0750,1.0308,0.0641
21675,24,0.9255,0.1642,0.1774
21676,24,0.9400,0.2488,0.2646
21677,25,0.8873,0.0800,0.0902
21678,24,0.9168,0.2027,0.2211
21679,25,0.8876,0.0765,0.0862
21680,25,0.9199,0.0890,0.0967
21681,13,9.8592,0.5082,0.0516
21682,25,5.1002,0.4646,0.0911
21683,25,3.0719,0.3126,0.1018
21684,25,0.8973,0.1361,0.1517
21685,1,14.9500,0.0000,
21686,17,38.9583,1.9531,0.0501
21687,10,4.0227,0.6191,0.1539
21688,23,3.1469,0.1671,0.0531
21689,22,3.8321,0.2940,0.0767
21690,14,3.8274,0.1767,0.0462
21691,11,3.8516,0.2500,0.0649
21692,15,3.8019,0.1608,0.0423
21693,25,3.1794,0.5636,0.1773
21694,22,3.1306,0.6166,0.1970
21695,25,3.3315,0.8133,0.2441
21696,24,2.9989,0.0785,0.0262
21697,3,1.2267,0.8025,0.6542
21698,23,1.0178,0.4243,0.4169
21699,3,1.2267,0.8025,0.6542
21700,25,1.1277,0.2657,0.2356
21702,3,0.7757,0.7920,1.0210
21703,25,0.4045,0.0330,0.0817
21704,25,0.8004,0.0751,0.0939
21705,19,1.6406,0.3482,0.2123
21706,25,4.7686,0.9537,0.2000
21707,24,4.9138,0.7329,0.1491
21708,23,4.8496,1.3877,0.2861
21709,24,4.9285,0.9110,0.1848
21710,23,4.7591,0.9957,0.2092
21711,21,5.0364,0.8842,0.1756
21713,25,2.3421,0.5888,0.2514
21714,25,1.6847,0.5304,0.3148
21715,25,2.7571,0.4292,0.1557
21716,25,2.7978,0.4701,0.1680
21717,15,2.5513,0.2471,0.0969
21718,25,1.4436,0.1927,0.1335
21719,25,0.9744,0.2548,0.2615
21720,18,0.9123,0.1902,0.2085
21721,22,0.9314,0.1767,0.1897
21722,24,1.0670,0.3061,0.2869
21723,25,0.9712,0.2179,0.2244
21724,25,0.9339,0.1349,0.1444
21725,24,0.9453,0.1609,0.1702
21726,24,0.8678,0.0417,0.0480
21728,8,11.9962,2.0210,0.1685
21729,2,3.5878,0.4442,0.1238
21730,22,5.0598,0.4184,0.0827
21731,25,1.7145,0.1623,0.0947
21732,10,3.6425,0.1383,0.0380
21733,25,2.8610,0.1009,0.0353
21734,4,5.3475,1.0160,0.1900
21735,20,13.1762,1.6727,0.1270
21736,14,2.0469,0.4974,0.2430
21737,11,18.9980,0.8624,0.0454
21738,19,3.2660,0.7335,0.2246
21739,22,3.2579,0.8899,0.2732
21740,5,3.0624,0.2513,0.0820
21741,21,3.6344,0.8888,0.2446
21742,25,6.0757,0.4165,0.0686
21743,21,3.3651,0.9674,0.2875
21744,16,3.1910,0.7063,0.2213
21745,25,3.6070,0.3744,0.1038
21746,24,1.3133,0.1274,0.0970
21747,23,1.3341,0.2835,0.2125
21749,24,2.2314,0.3380,0.1515
21750,21,2.3443,0.6161,0.2628
21752,6,15.8163,2.3666,0.1496
21754,25,6.1506,0.2212,0.0360
21755,25,6.2195,0.2176,0.0350
21756,21,6.1836,0.2769,0.0448
21757,7,5.5661,0.7486,0.1345
21758,24,8.9014,2.3727,0.2666
21759,4,50.7422,25.3274,0.4991
21760,6,118.9583,10.6776,0.0898
21761,16,29.4000,1.1832,0.0402
21763,9,26.9524,3.0945,0.1148
21764,4,39.3250,1.2500,0.0318
21765,11,8.4045,0.5811,0.0691
21767,1,29.9500,0.0000,
21768,9,16.0995,3.7212,0.2311
21769,13,73.8337,9.7499,0.1321
21770,18,5.0289,0.2696,0.0536
21772,1,12.7500,0.0000,
21773,25,1.5679,0.3896,0.2485
21774,25,1.6627,0.4456,0.2680
21775,25,1.7601,0.3984,0.2264
21777,13,8.1372,0.3651,0.0449
21779,2,4.2329,1.5112,0.3570
21780,2,8.3350,1.6923,0.2030
21781,20,15.7132,1.2061,0.0768
21784,22,11.4438,1.7504,0.1530
21785,15,0.8372,0.1135,0.1355
21786,25,0.4585,0.0763,0.1664
21787,22,0.8189,0.0904,0.1104
21788,25,0.8306,0.0688,0.0829
21789,25,0.8777,0.1209,0.1377
21790,25,0.8470,0.0724,0.0855
21791,25,1.2696,0.1503,0.1184
21792,20,6.3080,1.3883,0.2201
21793,22,5.7662,1.3543,0.2349
21794,21,6.3672,1.7457,0.2742
21795,9,12.3254,2.0710,0.1680
21796,9,12.0956,1.9633,0.1623
21801,20,0.4614,0.1068,0.2315
21802,21,0.4968,0.1509,0.3037
21803,20,0.4635,0.1022,0.2205
21804,11,3.8382,0.3177,0.0828
21805,9,0.4720,0.1429,0.3027
21806,11,0.5835,0.2137,0.3662
21807,17,0.5270,0.1851,0.3513
21808,14,3.9601,1.3733,0.3468
21809,17,1.2505,0.6049,0.4837
21810,16,1.1856,0.5021,0.4235
21811,24,1.2984,0.4483,0.3452
21812,24,5.6445,1.4018,0.2483
21813,16,5.6903,2.0096,0.3532
21814,18,1.5995,0.3526,0.2204
21815,16,1.6374,0.3785,0.2312
21816,10,1.4858,0.1133,0.0763
21817,10,0.7219,0.2116,0.2931
21818,22,0.8355,0.2683,0.3211
21819,14,0.7880,0.3262,0.4140
21820,22,4.5767,1.3442,0.2937
21821,14,4.5610,1.4252,0.3125
21822,10,1.6305,0.4945,0.3033
21823,18,1.4665,0.6588,0.4492
21824,13,1.3708,0.6487,0.4732
21825,6,1.4445,0.0794,0.0550
21826,16,1.3149,0.1553,0.1181
21827,14,1.2949,0.1065,0.0823
21828,25,1.3605,0.2491,0.1831
21829,23,0.2171,0.0137,0.0630
21830,24,0.4373,0.0840,0.1920
21832,25,1.7941,0.1947,0.1085
21833,25,1.7243,0.1149,0.0666
21836,14,4.1393,0.7071,0.1708
21837,6,6.7338,1.2058,0.1791
21838,1,5.4500,0.0000,
21839,13,5.4533,0.2044,0.0375
21841,19,4.2925,0.1608,0.0375
21842,4,2.4575,0.1140,0.0464
21843,25,10.9354,0.9730,0.0890
21844,25,2.8788,0.1527,0.0531
21845,24,2.3629,1.2422,0.5257
21846,24,4.2114,1.6180,0.3842
21847,20,3.9302,1.3380,0.3404
21849,23,3.9865,1.2756,0.3200
21850,23,4.3677,1.6466,0.3770
21851,25,4.2994,1.6011,0.3724
21852,1,6.9500,0.0000,
21853,2,5.1150,0.0778,0.0152
21854,1,5.1700,0.0000,
21857,1,5.1150,0.0000,
21858,2,5.1150,0.0778,0.0152
21860,1,5.1700,0.0000,
21864,25,2.4682,0.3454,0.1399
21865,25,2.4150,0.3937,0.1630
21866,25,1.6530,0.3889,0.2353
21867,25,1.4286,0.2015,0.1411
21868,25,1.5972,0.7674,0.4805
21869,6,1.3552,0.4657,0.3437
21870,20,1.4379,0.5568,0.3873
21871,25,1.2603,0.1867,0.1481
21872,25,1.1911,0.1914,0.1607
21873,25,1.3146,0.2851,0.2169
21874,25,1.3326,0.2040,0.1531
21875,25,1.2754,0.1857,0.1456
21876,25,1.4044,0.3675,0.2617
21877,25,1.2292,0.2348,0.1910
21878,22,0.9515,0.1986,0.2087
21879,25,0.7817,0.3312,0.4237
21880,25,0.6352,0.1528,0.2405
21881,25,0.7412,0.3193,0.4308
21882,22,0.7725,0.3523,0.4560
21883,25,0.6501,0.1007,0.1549
21884,25,0.8924,0.3963,0.4441
21888,25,4.0741,0.5111,0.1255
21889,25,1.3187,0.1219,0.0925
21890,25,3.1892,0.3662,0.1148
21891,25,1.2983,0.1252,0.0965
21892,25,1.3353,0.1253,0.0938
21893,3,4.1023,1.0846,0.2644
21894,25,1.4292,0.2428,0.1699
21895,12,4.3786,1.0145,0.2317
21896,25,2.2265,0.3730,0.1675
21897,15,3.1519,0.7443,0.2361
21898,15,2.9664,0.1519,0.0512
21899,25,0.6781,0.0598,0.0883
21900,25,0.6974,0.0801,0.1149
21901,25,0.6830,0.0525,0.0769
21902,25,0.6686,0.0525,0.0785
21903,25,2.1350,0.2240,0.1049
21904,18,2.0374,0.2801,0.1375
21905,25,1.6976,0.5538,0.3262
21906,25,7.5969,1.0025,0.1320
21907,24,2.1143,0.0564,0.0267
21908,25,2.0475,0.1585,0.0774
21910,15,1.5904,0.2279,0.1433
21911,17,1.7811,0.4225,0.2372
21912,25,4.0021,0.3894,0.0973
21913,25,3.9739,0.3497,0.0880
21914,24,1.5269,0.9531,0.6242
21915,23,1.1728,0.0724,0.0617
21916,25,0.4361,0.0367,0.0841
21917,25,0.4241,0.0216,0.0510
21918,25,0.4234,0.0265,0.0625
21919,4,5.0875,0.0550,0.0108
21922,21,8.5287,1.4145,0.1659
21923,9,9.1322,3.1634,0.3464
21924,10,8.4642,1.8692,0.2208
21925,21,1.2623,0.0467,0.0370
21926,20,1.2686,0.0781,0.0616
21927,21,1.2867,0.1204,0.0936
21928,25,1.9247,0.1553,0.0807
21929,24,1.9720,0.1627,0.0825
21930,25,2.0785,0.2594,0.1248
21931,25,2.1238,0.2758,0.1298
21932,25,2.6564,0.8336,0.3138
21933,25,2.5968,0.7039,0.2711
21934,25,1.8693,0.2799,0.1497
21935,25,1.9027,0.2839,0.1492
21936,25,3.0778,0.4003,0.1300
21937,21,3.1351,0.6383,0.2036
21942,24,1.0228,0.2500,0.2444
21943,24,1.0810,0.2998,0.2773
21944,23,1.0035,0.3012,0.3002
21945,24,1.0163,0.2496,0.2456
21946,21,0.9300,0.2817,0.3029
21947,25,1.4751,0.2755,0.1868
21948,25,1.5557,0.3411,0.2193
21949,25,1.4683,0.3809,0.2594
21950,5,1.9830,0.7592,0.3828
21955,25,7.2369,1.4745,0.2038
21967,24,0.3165,0.0601,0.1899
21972,25,1.5935,0.3479,0.2183
21973,23,1.4753,0.1021,0.0692
21974,25,1.5877,0.1746,0.1100
21975,25,0.5010,0.0434,0.0867
21976,25,0.5611,0.0639,0.1139
21977,25,0.5089,0.0325,0.0640
21980,25,0.3056,0.0444,0.1453
21981,23,0.3212,0.0775,0.2412
21982,23,0.3455,0.1108,0.3205
21983,25,0.3183,0.0539,0.1693
21984,25,0.3129,0.0587,0.1876
21985,25,0.3324,0.0606,0.1823
21986,25,0.3348,0.0689,0.2058
21987,25,0.6494,0.0518,0.0798
21988,25,0.8116,0.0986,0.1215
21989,25,0.8869,0.1411,0.1591
21990,25,2.3793,0.6686,0.2810
21991,23,2.3376,0.7697,0.3293
21992,24,2.4742,0.7611,0.3076
21993,24,2.4016,0.7268,0.3026
22016,1,83.3300,0.0000,
22021,10,1.7001,0.1330,0.0782
22023,25,0.4326,0.0278,0.0642
22024,25,0.4273,0.0345,0.0807
22025,25,0.4283,0.0364,0.0849
22026,25,0.4380,0.0360,0.0822
22027,25,0.4290,0.0244,0.0569
22028,25,0.4230,0.0179,0.0424
22029,25,0.4157,0.0197,0.0474
22030,24,0.4192,0.0368,0.0879
22031,25,0.4623,0.0866,0.1874
22032,23,0.4458,0.0890,0.1997
22033,20,0.4470,0.0918,0.2053
22034,9,0.5126,0.1858,0.3624
22035,23,0.4442,0.0852,0.1919
22036,10,0.4687,0.1349,0.2877
22037,24,0.4345,0.0196,0.0451
22038,21,0.4181,0.0087,0.0209
22039,15,0.4173,0.0075,0.0179
22040,23,0.4147,0.0145,0.0350
22041,25,2.5248,0.3607,0.1429
22042,16,0.4104,0.0407,0.0991
22043,15,0.3647,0.0868,0.2382
22044,11,0.3414,0.1065,0.3119
22045,25,0.4148,0.0097,0.0234
22046,25,0.4148,0.0129,0.0310
22047,25,0.4120,0.0143,0.0348
22048,24,0.4173,0.0131,0.0313
22049,9,0.3407,0.1081,0.3172
22050,25,0.4155,0.0155,0.0372
22051,24,0.4178,0.0109,0.0261
22052,18,0.4174,0.0081,0.0193
22053,22,1.2830,0.1687,0.1315
22054,4,1.8495,0.1129,0.0610
22055,25,1.7390,0.3433,0.1974
22056,8,1.3970,0.3309,0.2369
22057,25,1.4648,0.3164,0.2160
22058,12,1.5173,0.0676,0.0446
22059,25,1.4476,0.2383,0.1646
22060,18,8.8704,2.5945,0.2925
22061,25,9.6019,1.5869,0.1653
22062,23,2.5819,1.3934,0.5397
22063,25,3.1078,0.7043,0.2266
22064,25,1.6606,0.2660,0.1602
22065,20,1.7496,0.9813,0.5609
22066,25,1.0268,0.5291,0.5153
22067,25,1.6869,0.3168,0.1878
22068,25,2.1090,0.6947,0.3294
22069,25,2.5770,0.7962,0.3090
22070,25,3.7914,0.6951,0.1833
22071,25,3.8175,0.9452,0.2476
22072,25,3.9490,0.6109,0.1547
22073,18,4.0682,0.4476,0.1100
22074,25,1.5593,0.4862,0.3118
22075,24,2.0021,0.8924,0.4457
22076,25,1.6664,0.2812,0.1688
22077,24,1.8309,0.2548,0.1392
22078,23,2.1601,0.1407,0.0652
22079,25,1.7214,0.1008,0.0585
22080,21,1.7935,0.5379,0.2999
22081,25,1.8132,0.2470,0.1362
22082,25,1.6893,0.0972,0.0575
22083,25,2.9769,0.2378,0.0799
22084,23,2.9454,0.3925,0.1333
22085,25,2.9664,0.4043,0.1363
22086,24,3.3463,0.8718,0.2605
22087,20,3.0254,0.2411,0.0797
22088,20,2.9784,0.2527,0.0849
22089,25,3.0083,0.2411,0.0802
22090,25,3.0415,0.2217,0.0729
22091,25,1.1451,0.4737,0.4137
22092,22,0.9750,0.4354,0.4466
22093,24,1.0193,0.4343,0.4260
22094,25,1.1664,0.5607,0.4807
22095,25,1.1809,0.3788,0.3208
22096,24,1.0403,0.4065,0.3908
22097,25,1.1197,0.4551,0.4064
22098,25,1.1822,0.5404,0.4571
22099,25,1.1780,0.4639,0.3938
22100,23,1.2524,0.5726,0.4572
22101,25,2.3553,0.8072,0.3427
22102,23,1.9001,0.6896,0.3629
22103,21,1.9428,0.6477,0.3334
22104,24,1.4834,0.2888,0.1947
22105,22,4.3917,1.5863,0.3612
22106,24,5.8827,2.1125,0.3591
22107,25,4.1458,0.6012,0.1450
22108,23,3.4530,0.9736,0.2820
22109,25,4.1318,0.4564,0.1105
22110,25,4.0767,1.5668,0.3843
22111,25,5.2632,0.6315,0.1200
22112,25,5.3589,0.7013,0.1309
22113,17,3.9011,0.3461,0.0887
22114,21,4.9380,1.2743,0.2581
22115,25,2.7063,1.1146,0.4119
22116,25,2.1006,0.8914,0.4244
22117,25,2.8469,0.4991,0.1753
22118,23,5.1541,0.9857,0.1912
22119,25,6.8283,1.1258,0.1649
22120,21,10.2213,0.5880,0.0575
22121,19,6.2613,0.8513,0.1360
22122,9,3.0043,0.1283,0.0427
22123,25,4.1099,1.9187,0.4669
22124,24,2.6974,0.5244,0.1944
22125,6,7.8505,2.9510,0.3759
22127,16,1.2891,0.1878,0.1457
22128,24,1.2324,0.0777,0.0631
22129,25,1.0531,0.4851,0.4606
22130,23,1.2463,1.5466,1.2410
22131,25,1.9959,0.2433,0.1219
22132,25,0.9541,0.1238,0.1298
22133,25,0.9914,0.1696,0.1710
22134,25,0.5199,0.1040,0.2001
22135,25,0.5520,0.0990,0.1794
22136,24,1.9006,0.3803,0.2001
22137,19,3.6091,1.1882,0.3292
22138,25,4.8893,0.1906,0.0390
22139,25,5.1566,0.7060,0.1369
22141,14,2.9720,0.9276,0.3121
22142,13,1.9210,0.7917,0.4122
22143,9,2.5998,0.8458,0.3253
22144,17,2.8326,0.8525,0.3010
22145,12,2.3108,0.6050,0.2618
22146,10,2.0169,0.4493,0.2228
22147,25,1.4200,0.0658,0.0464
22148,22,2.3224,0.8089,0.3483
22149,24,2.0887,0.1705,0.0816
22150,25,1.9150,0.1308,0.0683
22151,25,0.4256,0.0228,0.0535
22152,23,0.4807,0.1940,0.4036
22153,19,0.4511,0.0532,0.1179
22154,21,0.5740,0.1984,0.3456
22155,25,0.6265,0.1952,0.3116
22156,25,0.9224,0.0613,0.0664
22157,10,0.8653,0.0422,0.0487
22158,22,3.5313,0.9947,0.2817
22161,25,0.6815,0.3807,0.5586
22162,23,3.0841,0.1714,0.0556
22163,24,2.7756,0.7838,0.2824
22164,15,3.1419,0.7755,0.2468
22165,25,12.4984,4.6374,0.3710
22166,25,11.2258,3.0893,0.2752
22167,25,10.4496,1.9809,0.1896
22168,17,8.3987,0.2045,0.0243
22169,24,8.7505,0.6079,0.0695
22170,24,6.6602,0.3821,0.0574
22171,25,8.1792,1.0175,0.1244
22172,10,9.0139,0.4764,0.0528
