stock_code,abc_class,revenue_share,cum_share,abc_source
21843,A,0.003950,0.077354,training_window
21844,A,0.000953,0.468478,training_window
21845,B,0.000217,0.816317,training_window
21846,A,0.000254,0.791552,training_window
21847,C,0.000047,0.970859,training_window
21849,B,0.000095,0.922761,training_window
21850,C,0.000055,0.962403,training_window
21851,B,0.000097,0.921323,training_window
21852,C,0.000001,0.999911,training_window
21853,C,0.000001,0.999898,training_window
21854,C,0.000000,0.999982,training_window
21857,C,0.000001,0.999950,training_window
21858,C,0.000001,0.999950,training_window
21860,C,0.000000,0.999982,training_window
21864,A,0.000275,0.773807,training_window
21865,B,0.000137,0.882596,training_window
21866,B,0.000234,0.806420,training_window
21867,B,0.000100,0.918674,training_window
21868,A,0.000752,0.529756,training_window
21869,B,0.000111,0.908711,training_window
21870,A,0.000572,0.614456,training_window
21871,A,0.000672,0.565638,training_window
21872,A,0.000306,0.752979,training_window
21873,B,0.000088,0.929056,training_window
21874,A,0.000397,0.699398,training_window
21875,A,0.000462,0.664508,training_window
21876,A,0.000362,0.717284,training_window
21877,A,0.000824,0.507937,training_window
21878,A,0.000291,0.762793,training_window
21879,C,0.000044,0.974239,training_window
21880,C,0.000065,0.953018,training_window
21881,C,0.000032,0.983048,training_window
21882,C,0.000031,0.983903,training_window
21883,B,0.000070,0.948179,training_window
21884,C,0.000040,0.977264,training_window
21888,A,0.000727,0.543847,training_window
21889,A,0.000822,0.508759,training_window
21890,A,0.000603,0.598028,training_window
21891,A,0.000653,0.574885,training_window
21892,A,0.000549,0.627356,training_window
21893,C,0.000044,0.973449,training_window
21894,B,0.000110,0.909263,training_window
21895,B,0.000129,0.889906,training_window
21896,A,0.000356,0.720155,training_window
21897,B,0.000199,0.829811,training_window
21898,B,0.000191,0.835250,training_window
21899,A,0.000272,0.775992,training_window
21900,A,0.000343,0.726455,training_window
21901,A,0.000256,0.790533,training_window
21902,B,0.000216,0.817615,training_window
21903,A,0.000415,0.687595,training_window
21904,B,0.000090,0.926645,training_window
21905,B,0.000117,0.901764,training_window
21906,A,0.000812,0.511207,training_window
21907,A,0.000595,0.603412,training_window
21908,A,0.001090,0.425807,training_window
21910,B,0.000105,0.913360,training_window
21911,A,0.000307,0.752060,training_window
21912,A,0.000750,0.533511,training_window
21913,A,0.000267,0.781908,training_window
21914,A,0.000814,0.510395,training_window
21915,A,0.001864,0.262245,training_window
21916,A,0.000286,0.765387,training_window
21917,B,0.000175,0.847570,training_window
21918,A,0.000330,0.735869,training_window
21919,C,0.000002,0.999718,training_window
21922,A,0.000642,0.577466,training_window
21923,B,0.000200,0.828814,training_window
21924,B,0.000187,0.838652,training_window
21925,B,0.000100,0.917975,training_window
21926,B,0.000080,0.936019,training_window
21927,B,0.000094,0.923422,training_window
21928,A,0.002661,0.172609,training_window
21929,A,0.002890,0.150435,training_window
21930,A,0.001400,0.351994,training_window
21931,A,0.003278,0.117334,training_window
21932,A,0.000422,0.681319,training_window
21933,A,0.000480,0.656047,training_window
21934,A,0.000415,0.688424,training_window
21935,A,0.000699,0.558078,training_window
21936,A,0.001358,0.358849,training_window
21937,A,0.000830,0.502984,training_window
21942,B,0.000071,0.946633,training_window
21943,C,0.000035,0.981710,training_window
21944,C,0.000068,0.950108,training_window
21945,B,0.000081,0.934808,training_window
21946,C,0.000024,0.988889,training_window
21947,B,0.000150,0.866930,training_window
21948,B,0.000192,0.834101,training_window
21949,B,0.000211,0.820604,training_window
21950,C,0.000020,0.991512,training_window
21955,A,0.001457,0.340659,training_window
21967,A,0.000286,0.765960,training_window
21972,B,0.000098,0.920056,training_window
21973,B,0.000171,0.850343,training_window
21974,A,0.000630,0.585097,training_window
21975,A,0.000870,0.489412,training_window
21976,A,0.000475,0.657956,training_window
21977,A,0.001683,0.295751,training_window
21980,A,0.000574,0.612736,training_window
21981,A,0.000488,0.652188,training_window
21982,A,0.000708,0.553161,training_window
21983,B,0.000106,0.912623,training_window
21984,A,0.000485,0.652673,training_window
21985,A,0.000572,0.615029,training_window
21986,A,0.000319,0.743326,training_window
21987,B,0.000242,0.800714,training_window
21988,A,0.000355,0.721221,training_window
21989,A,0.000416,0.687180,training_window
21990,B,0.000170,0.850853,training_window
21991,B,0.000087,0.929931,training_window
21992,A,0.000339,0.729180,training_window
21993,B,0.000201,0.828212,training_window
22016,C,0.000000,0.000000,default_no_train_history
22021,B,0.000183,0.843455,training_window
22023,B,0.000137,0.883007,training_window
22024,B,0.000134,0.885174,training_window
22025,B,0.000092,0.925190,training_window
22026,B,0.000100,0.918475,training_window
22027,A,0.000287,0.765101,training_window
22028,B,0.000138,0.881633,training_window
22029,A,0.000414,0.688839,training_window
22030,A,0.000286,0.767103,training_window
22031,C,0.000028,0.986160,training_window
22032,C,0.000023,0.989285,training_window
22033,C,0.000048,0.969868,training_window
22034,C,0.000051,0.966580,training_window
22035,B,0.000113,0.906814,training_window
22036,C,0.000052,0.964982,training_window
22037,B,0.000150,0.866479,training_window
22038,C,0.000026,0.987698,training_window
22039,C,0.000020,0.991190,training_window
22040,B,0.000072,0.945705,training_window
22041,A,0.000915,0.478696,training_window
22042,C,0.000038,0.979348,training_window
22043,C,0.000025,0.988481,training_window
22044,C,0.000029,0.985905,training_window
22045,A,0.000324,0.740116,training_window
22046,B,0.000156,0.861742,training_window
22047,B,0.000189,0.837336,training_window
22048,B,0.000071,0.946916,training_window
22049,C,0.000066,0.952107,training_window
22050,B,0.000076,0.941339,training_window
22051,B,0.000083,0.933245,training_window
22052,B,0.000108,0.911230,training_window
22053,A,0.000298,0.757189,training_window
22054,C,0.000049,0.967976,training_window
22055,A,0.000551,0.625159,training_window
22056,C,0.000049,0.967828,training_window
22057,A,0.000273,0.774902,training_window
22058,C,0.000060,0.957519,training_window
22059,A,0.000442,0.674006,training_window
22060,A,0.000428,0.678353,training_window
22061,A,0.001282,0.377373,training_window
22062,B,0.000076,0.942098,training_window
22063,A,0.000419,0.684259,training_window
22064,A,0.000701,0.557380,training_window
22065,B,0.000237,0.804306,training_window
22066,B,0.000166,0.853541,training_window
22067,B,0.000200,0.829413,training_window
22068,B,0.000108,0.911338,training_window
22069,B,0.000115,0.903628,training_window
22070,A,0.000290,0.763083,training_window
22071,A,0.000253,0.792565,training_window
22072,A,0.000618,0.591311,training_window
22073,A,0.000636,0.582569,training_window
22074,B,0.000129,0.889518,training_window
22075,B,0.000220,0.814356,training_window
22076,B,0.000186,0.839026,training_window
22077,A,0.001560,0.313590,training_window
22078,A,0.000515,0.642154,training_window
22079,A,0.000502,0.646237,training_window
22080,A,0.000371,0.713264,training_window
22081,B,0.000151,0.865876,training_window
22082,A,0.000714,0.549603,training_window
22083,A,0.002472,0.198099,training_window
22084,A,0.001856,0.265960,training_window
22085,A,0.000455,0.668639,training_window
22086,A,0.004708,0.069378,training_window
22087,A,0.001780,0.276848,training_window
22088,A,0.000918,0.475948,training_window
22089,A,0.000619,0.589456,training_window
22090,A,0.003000,0.135822,training_window
22091,B,0.000132,0.887035,training_window
22092,C,0.000027,0.986713,training_window
22093,C,0.000055,0.962458,training_window
22094,B,0.000133,0.886241,training_window
22095,B,0.000163,0.856010,training_window
22096,C,0.000030,0.984673,training_window
22097,C,0.000051,0.966630,training_window
22098,B,0.000089,0.928880,training_window
22099,B,0.000078,0.939028,training_window
22100,C,0.000031,0.984306,training_window
22101,B,0.000114,0.905797,training_window
22102,C,0.000037,0.980136,training_window
22103,B,0.000081,0.935536,training_window
22104,C,0.000057,0.960271,training_window
22105,C,0.000052,0.965295,training_window
22106,B,0.000071,0.946704,training_window
22107,A,0.000253,0.792312,training_window
22108,C,0.000053,0.963979,training_window
22109,A,0.000751,0.532010,training_window
22110,A,0.000477,0.657480,training_window
22111,A,0.002493,0.195627,training_window
22112,A,0.002661,0.175270,training_window
22113,A,0.001029,0.447842,training_window
22114,A,0.002589,0.177859,training_window
22115,A,0.000338,0.729857,training_window
22116,C,0.000052,0.965347,training_window
22117,B,0.000130,0.889259,training_window
22118,B,0.000241,0.801439,training_window
22119,A,0.000324,0.740439,training_window
22120,A,0.000580,0.609853,training_window
22121,A,0.000565,0.620140,training_window
22122,A,0.000247,0.796065,training_window
22123,B,0.000074,0.943297,training_window
22124,C,0.000038,0.979196,training_window
22125,A,0.000298,0.757487,training_window
22127,A,0.000312,0.747105,training_window
22128,A,0.000280,0.769935,training_window
22129,B,0.000181,0.844364,training_window
22130,A,0.000662,0.569634,training_window
22131,A,0.000601,0.599232,training_window
22132,B,0.000195,0.831582,training_window
22133,B,0.000146,0.872270,training_window
22134,C,0.000059,0.958411,training_window
22135,C,0.000049,0.968808,training_window
22136,B,0.000242,0.800230,training_window
22137,B,0.000112,0.907711,training_window
22138,A,0.002109,0.240852,training_window
22139,A,0.002783,0.161756,training_window
22141,B,0.000238,0.803358,training_window
22142,B,0.000131,0.888218,training_window
22143,B,0.000071,0.946562,training_window
22144,A,0.000275,0.772433,training_window
22145,B,0.000207,0.822904,training_window
22146,B,0.000198,0.830208,training_window
22147,A,0.000901,0.483225,training_window
22148,A,0.000478,0.656525,training_window
22149,A,0.001414,0.347781,training_window
22150,A,0.000801,0.514421,training_window
22151,A,0.000638,0.580022,training_window
22152,B,0.000144,0.874157,training_window
22153,B,0.000109,0.910251,training_window
22154,B,0.000145,0.873868,training_window
22155,B,0.000130,0.888870,training_window
22156,A,0.000320,0.742687,training_window
22157,B,0.000104,0.914198,training_window
22158,A,0.001428,0.343524,training_window
22161,B,0.000121,0.898671,training_window
22162,A,0.000267,0.781374,training_window
22163,B,0.000101,0.916868,training_window
22164,C,0.000053,0.964404,training_window
22165,A,0.000420,0.683421,training_window
22166,B,0.000201,0.828413,training_window
22167,A,0.000387,0.705286,training_window
22168,A,0.000412,0.690076,training_window
22169,A,0.000966,0.463691,training_window
22170,A,0.000867,0.492017,training_window
22171,A,0.001222,0.393674,training_window
22172,A,0.000260,0.787178,training_window
22173,A,0.000822,0.509581,training_window
22174,A,0.000583,0.608110,training_window
22175,A,0.000263,0.785613,training_window
22176,B,0.000207,0.823525,training_window
22177,B,0.000233,0.807121,training_window
22178,A,0.002526,0.190637,training_window
22179,A,0.000801,0.513620,training_window
22180,A,0.000651,0.575535,training_window
22181,B,0.000075,0.942775,training_window
22182,B,0.000079,0.936979,training_window
22183,A,0.000247,0.797054,training_window
22184,B,0.000217,0.815883,training_window
22185,A,0.000362,0.717645,training_window
22186,A,0.000271,0.777075,training_window
22187,A,0.000298,0.758381,training_window
22188,A,0.001720,0.285550,training_window
22189,A,0.002953,0.141752,training_window
22190,B,0.000158,0.860019,training_window
22191,A,0.000593,0.604005,training_window
22192,A,0.000517,0.641123,training_window
22193,A,0.000597,0.601624,training_window
22194,B,0.000235,0.805952,training_window
22195,A,0.000560,0.621826,training_window
22196,A,0.000353,0.722635,training_window
22197,A,0.003318,0.110770,training_window
22198,A,0.000960,0.465614,training_window
22199,A,0.000497,0.648736,training_window
22200,A,0.000373,0.712522,training_window
22201,B,0.000126,0.894242,training_window
22202,A,0.000326,0.738491,training_window
22203,A,0.000360,0.718368,training_window
22204,B,0.000127,0.893485,training_window
22206,C,0.000001,0.999954,training_window
22207,A,0.000763,0.523707,training_window
22208,B,0.000149,0.868127,training_window
22209,B,0.000084,0.932490,training_window
22210,B,0.000084,0.932153,training_window
22211,B,0.000103,0.915647,training_window
22212,A,0.000522,0.638536,training_window
22214,B,0.000086,0.930449,training_window
22215,A,0.000570,0.616170,training_window
22216,B,0.000070,0.948458,training_window
22217,B,0.000172,0.849658,training_window
22218,A,0.000404,0.697002,training_window
22219,A,0.000549,0.626807,training_window
22220,A,0.000443,0.673122,training_window
22221,A,0.000462,0.664970,training_window
22222,A,0.000351,0.722986,training_window
22223,B,0.000212,0.819968,training_window
22224,A,0.000475,0.658905,training_window
22227,A,0.000274,0.774355,training_window
22228,B,0.000096,0.921805,training_window
22229,C,0.000056,0.961233,training_window
22230,C,0.000060,0.957338,training_window
22231,B,0.000166,0.854039,training_window
22232,B,0.000071,0.946206,training_window
22233,B,0.000070,0.947268,training_window
22236,A,0.000927,0.474109,training_window
22241,A,0.000437,0.675762,training_window
22242,A,0.000569,0.617878,training_window
22243,A,0.000873,0.488541,training_window
22244,A,0.000598,0.601027,training_window
22245,A,0.000298,0.757785,training_window
22246,B,0.000142,0.877440,training_window
22247,B,0.000075,0.942849,training_window
22248,C,0.000062,0.956056,training_window
22249,B,0.000104,0.914510,training_window
22250,B,0.000093,0.924451,training_window
22251,B,0.000159,0.859227,training_window
22252,C,0.000052,0.965761,training_window
22253,B,0.000087,0.929758,training_window
22254,B,0.000125,0.894868,training_window
22255,B,0.000070,0.948039,training_window
22256,B,0.000090,0.927096,training_window
22257,C,0.000025,0.988157,training_window
22258,B,0.000095,0.922950,training_window
22259,C,0.000036,0.980539,training_window
22260,B,0.000114,0.905570,training_window
22261,B,0.000147,0.871390,training_window
22262,B,0.000127,0.892597,training_window
22263,C,0.000043,0.974801,training_window
22264,B,0.000086,0.930621,training_window
22265,B,0.000089,0.928258,training_window
22266,C,0.000057,0.960099,training_window
22267,B,0.000085,0.931815,training_window
22268,B,0.000070,0.948388,training_window
22269,B,0.000077,0.939881,training_window
22270,B,0.000189,0.837525,training_window
22271,A,0.000834,0.501322,training_window
22272,A,0.000289,0.763372,training_window
22273,A,0.000765,0.522180,training_window
22274,A,0.000619,0.590075,training_window
22275,A,0.000592,0.604597,training_window
22276,A,0.000351,0.723337,training_window
22277,B,0.000175,0.848095,training_window
22278,A,0.000310,0.749286,training_window
22279,B,0.000106,0.912517,training_window
22280,B,0.000072,0.944985,training_window
22281,A,0.000245,0.798283,training_window
22282,A,0.000469,0.660787,training_window
22283,A,0.000565,0.619575,training_window
22284,A,0.000273,0.775447,training_window
22285,A,0.000296,0.758973,training_window
22286,B,0.000139,0.880387,training_window
22287,B,0.000091,0.926192,training_window
22288,B,0.000112,0.907823,training_window
22289,C,0.000059,0.958705,training_window
22290,B,0.000092,0.925098,training_window
22291,A,0.000307,0.751753,training_window
22292,A,0.000270,0.778155,training_window
22293,B,0.000184,0.842539,training_window
22294,A,0.001305,0.374807,training_window
22295,A,0.000896,0.485021,training_window
22296,A,0.001019,0.449885,training_window
22297,A,0.001144,0.410220,training_window
22299,A,0.000269,0.778962,training_window
22300,A,0.000612,0.594994,training_window
22301,A,0.000730,0.541662,training_window
22302,A,0.000599,0.599831,training_window
22303,A,0.000728,0.543120,training_window
22304,A,0.000281,0.769654,training_window
22305,A,0.000332,0.734544,training_window
22306,B,0.000083,0.933577,training_window
22307,B,0.000075,0.943073,training_window
22308,B,0.000118,0.900585,training_window
22309,B,0.000206,0.824349,training_window
22310,B,0.000178,0.845979,training_window
22311,A,0.000307,0.751446,training_window
22312,A,0.000248,0.795075,training_window
22313,B,0.000158,0.859861,training_window
22314,B,0.000231,0.807818,training_window
22315,B,0.000151,0.866329,training_window
22316,B,0.000093,0.924822,training_window
22317,B,0.000118,0.901176,training_window
22318,A,0.000331,0.735539,training_window
22319,B,0.000099,0.919269,training_window
22320,B,0.000207,0.822697,training_window
22321,B,0.000154,0.863135,training_window
22322,B,0.000106,0.912834,training_window
22323,B,0.000127,0.893359,training_window
22324,B,0.000097,0.920839,training_window
22325,B,0.000196,0.831192,training_window
22326,A,0.002254,0.221372,training_window
22327,A,0.000533,0.632756,training_window
22328,A,0.002121,0.238743,training_window
22329,A,0.000549,0.626258,training_window
22330,C,0.000015,0.994423,training_window
22331,A,0.000340,0.728163,training_window
22332,A,0.000425,0.678778,training_window
22333,A,0.000906,0.480516,training_window
22334,B,0.000234,0.806654,training_window
22335,A,0.000359,0.718726,training_window
22336,B,0.000123,0.896351,training_window
22337,B,0.000076,0.941415,training_window
22338,B,0.000077,0.940651,training_window
22339,C,0.000056,0.961008,training_window
22340,C,0.000056,0.961792,training_window
22341,A,0.000407,0.694981,training_window
22342,B,0.000150,0.866629,training_window
22343,B,0.000119,0.899991,training_window
22344,C,0.000047,0.970153,training_window
22345,C,0.000044,0.974108,training_window
22346,C,0.000037,0.980024,training_window
22347,B,0.000235,0.806186,training_window
22348,A,0.000668,0.567646,training_window
22349,A,0.000704,0.555276,training_window
22350,A,0.000538,0.630619,training_window
22351,C,0.000002,0.999772,training_window
22352,A,0.001040,0.441653,training_window
22353,A,0.000596,0.602817,training_window
22354,A,0.000543,0.630081,training_window
22355,A,0.002215,0.223587,training_window
22356,A,0.001064,0.432243,training_window
22357,A,0.000636,0.581933,training_window
22358,A,0.000544,0.629538,training_window
22359,A,0.000281,0.769093,training_window
22360,A,0.000458,0.667269,training_window
22361,A,0.000355,0.720867,training_window
22362,B,0.000140,0.879412,training_window
22363,B,0.000143,0.875590,training_window
22364,A,0.000407,0.694167,training_window
22365,A,0.000855,0.494587,training_window
22366,A,0.001042,0.438531,training_window
22367,A,0.000870,0.490281,training_window
22371,A,0.000443,0.673564,training_window
22372,B,0.000170,0.851192,training_window
22374,A,0.000268,0.779768,training_window
22375,B,0.000154,0.863442,training_window
22376,B,0.000147,0.871243,training_window
22377,A,0.000461,0.666352,training_window
22378,A,0.000418,0.685513,training_window
22379,A,0.001980,0.248965,training_window
22380,A,0.000671,0.566309,training_window
22381,A,0.001179,0.404438,training_window
22382,A,0.001697,0.294068,training_window
22383,A,0.002263,0.219119,training_window
22384,A,0.001755,0.280360,training_window
22385,A,0.001703,0.290672,training_window
22386,A,0.003644,0.104015,training_window
22389,C,0.000061,0.957036,training_window
22390,B,0.000089,0.927902,training_window
22391,C,0.000038,0.979043,training_window
22393,B,0.000078,0.939262,training_window
22394,C,0.000034,0.982155,training_window
22395,C,0.000021,0.990485,training_window
22396,B,0.000085,0.931476,training_window
22398,B,0.000211,0.821236,training_window
22399,A,0.000330,0.736199,training_window
22400,B,0.000115,0.903743,training_window
22402,B,0.000185,0.840327,training_window
22403,C,0.000063,0.954106,training_window
22405,B,0.000135,0.884636,training_window
22406,B,0.000221,0.813474,training_window
22407,C,0.000036,0.980648,training_window
22408,C,0.000052,0.965503,training_window
22409,B,0.000162,0.856823,training_window
22410,B,0.000114,0.905684,training_window
22411,A,0.003040,0.132822,training_window
22412,A,0.000316,0.744595,training_window
22413,A,0.000825,0.505463,training_window
22414,A,0.000446,0.671789,training_window
22415,B,0.000190,0.836581,training_window
22416,B,0.000184,0.841435,training_window
22417,A,0.000669,0.566978,training_window
22418,A,0.000524,0.635923,training_window
22419,B,0.000167,0.853041,training_window
22420,C,0.000039,0.978616,training_window
22421,B,0.000105,0.913781,training_window
22422,B,0.000089,0.928436,training_window
22423,A,0.019086,0.019086,training_window
22424,A,0.001079,0.427966,training_window
22425,B,0.000242,0.800472,training_window
22426,A,0.000274,0.774081,training_window
22427,A,0.000937,0.473183,training_window
22428,B,0.000179,0.845444,training_window
22429,A,0.000550,0.625709,training_window
22430,A,0.000383,0.708367,training_window
22431,A,0.000374,0.711776,training_window
22432,A,0.000417,0.686348,training_window
22433,A,0.000313,0.746167,training_window
22434,A,0.000293,0.761332,training_window
22435,A,0.000353,0.722282,training_window
22436,B,0.000140,0.879131,training_window
22437,A,0.000308,0.751138,training_window
22438,B,0.000110,0.909373,training_window
22439,B,0.000137,0.883280,training_window
22440,B,0.000215,0.818045,training_window
22441,A,0.000331,0.735208,training_window
22442,A,0.000309,0.749596,training_window
22443,A,0.000385,0.707600,training_window
22444,A,0.001042,0.437489,training_window
22445,A,0.000252,0.794080,training_window
22446,B,0.000073,0.944186,training_window
22447,C,0.000051,0.966070,training_window
22448,B,0.000155,0.862053,training_window
22449,A,0.000268,0.780572,training_window
22450,B,0.000197,0.830603,training_window
22451,A,0.000338,0.730195,training_window
22452,B,0.000186,0.839956,training_window
22453,B,0.000131,0.888610,training_window
22454,A,0.000286,0.765674,training_window
22456,A,0.001249,0.388753,training_window
22457,A,0.002422,0.200521,training_window
22458,A,0.000285,0.768244,training_window
22459,A,0.000255,0.790788,training_window
22460,A,0.000326,0.738165,training_window
22461,B,0.000225,0.811687,training_window
22464,A,0.000753,0.529004,training_window
22465,A,0.000386,0.706059,training_window
22466,A,0.000536,0.631155,training_window
22467,A,0.001240,0.389992,training_window
22468,A,0.000725,0.546021,training_window
22469,A,0.002497,0.193134,training_window
22470,A,0.002873,0.153308,training_window
22471,B,0.000145,0.873144,training_window
22472,A,0.000342,0.727140,training_window
22473,B,0.000193,0.833908,training_window
22474,A,0.000295,0.760451,training_window
22475,B,0.000212,0.820180,training_window
22476,A,0.000249,0.794329,training_window
22477,B,0.000224,0.812136,training_window
22478,A,0.000244,0.799259,training_window
22479,B,0.000184,0.841987,training_window
22480,B,0.000203,0.827002,training_window
22481,C,0.000064,0.953660,training_window
22482,B,0.000203,0.826800,training_window
22483,A,0.000319,0.743007,training_window
22485,A,0.000776,0.517565,training_window
22486,C,0.000044,0.974064,training_window
22487,A,0.000939,0.471307,training_window
22488,A,0.000658,0.571611,training_window
22489,A,0.000393,0.702558,training_window
22491,A,0.000312,0.748354,training_window
22492,A,0.001362,0.357491,training_window
22493,A,0.000366,0.715104,training_window
22494,B,0.000225,0.811462,training_window
22495,B,0.000168,0.852371,training_window
22496,B,0.000122,0.898185,training_window
22497,A,0.000294,0.760745,training_window
22498,A,0.000445,0.672234,training_window
22499,A,0.001462,0.339202,training_window
22500,B,0.000164,0.855684,training_window
22501,A,0.001731,0.283830,training_window
22502,A,0.001473,0.333341,training_window
22503,B,0.000165,0.854700,training_window
22504,A,0.000391,0.703340,training_window
22505,A,0.001134,0.413636,training_window
22507,A,0.001355,0.361562,training_window
22508,A,0.000495,0.650719,training_window
22509,A,0.000301,0.754795,training_window
22510,C,0.000049,0.968222,training_window
22511,C,0.000066,0.951251,training_window
22512,C,0.000059,0.958646,training_window
22513,B,0.000117,0.901999,training_window
22514,B,0.000148,0.870654,training_window
22515,B,0.000149,0.869022,training_window
22516,B,0.000117,0.902932,training_window
22517,B,0.000110,0.909153,training_window
22518,B,0.000218,0.815231,training_window
22519,B,0.000215,0.817830,training_window
22520,B,0.000151,0.865725,training_window
22521,B,0.000150,0.867828,training_window
22522,B,0.000134,0.885442,training_window
22523,B,0.000129,0.889389,training_window
22524,B,0.000204,0.825987,training_window
22525,B,0.000207,0.823318,training_window
22526,A,0.000451,0.670447,training_window
22528,A,0.000573,0.613884,training_window
22529,C,0.000055,0.962789,training_window
22530,A,0.000252,0.793576,training_window
22531,B,0.000216,0.817399,training_window
22532,C,0.000059,0.959116,training_window
22533,B,0.000114,0.904887,training_window
22534,A,0.000333,0.733214,training_window
22535,B,0.000105,0.913255,training_window
22536,B,0.000224,0.812360,training_window
22537,B,0.000145,0.873289,training_window
22538,C,0.000042,0.976363,training_window
22539,B,0.000126,0.894116,training_window
22540,B,0.000155,0.862518,training_window
22541,C,0.000034,0.981985,training_window
22543,B,0.000077,0.940498,training_window
22544,B,0.000218,0.815449,training_window
22545,B,0.000084,0.932575,training_window
22546,B,0.000104,0.914302,training_window
22547,C,0.000051,0.965967,training_window
22548,B,0.000218,0.815013,training_window
22549,A,0.000514,0.644211,training_window
22550,A,0.000424,0.680052,training_window
22551,A,0.001352,0.362914,training_window
22553,A,0.000631,0.584467,training_window
22554,A,0.001093,0.424716,training_window
22555,A,0.001007,0.451902,training_window
22556,A,0.001266,0.382461,training_window
22557,A,0.001009,0.450895,training_window
22558,A,0.000974,0.459815,training_window
22559,B,0.000136,0.883824,training_window
22560,A,0.000876,0.487669,training_window
22561,A,0.000970,0.462725,training_window
22562,A,0.000266,0.782174,training_window
22563,A,0.000371,0.712893,training_window
22564,B,0.000231,0.808280,training_window
22565,B,0.000109,0.910579,training_window
22566,B,0.000143,0.876303,training_window
22567,A,0.000439,0.674886,training_window
22568,A,0.000903,0.482324,training_window
22569,A,0.001123,0.414759,training_window
22570,A,0.001146,0.409076,training_window
22571,A,0.000259,0.788475,training_window
22572,B,0.000160,0.858272,training_window
22573,B,0.000174,0.848967,training_window
22574,B,0.000216,0.816967,training_window
22575,A,0.000425,0.679628,training_window
22576,B,0.000129,0.890035,training_window
22577,A,0.000258,0.789507,training_window
22578,B,0.000203,0.826190,training_window
22579,B,0.000148,0.870358,training_window
22580,A,0.000488,0.651700,training_window
22581,B,0.000138,0.882046,training_window
22582,A,0.000325,0.739467,training_window
22583,A,0.000317,0.744279,training_window
22584,A,0.000746,0.536505,training_window
22585,A,0.001383,0.353377,training_window
22586,B,0.000102,0.916056,training_window
22587,B,0.000100,0.918574,training_window
22588,A,0.000467,0.661722,training_window
22589,B,0.000201,0.828614,training_window
22591,B,0.000181,0.844544,training_window
22592,A,0.000382,0.708749,training_window
22593,B,0.000239,0.802882,training_window
22594,B,0.000211,0.821026,training_window
22595,A,0.000484,0.653641,training_window
22596,B,0.000178,0.846156,training_window
22597,B,0.000128,0.891960,training_window
22598,C,0.000053,0.964351,training_window
22599,B,0.000077,0.940421,training_window
22600,B,0.000221,0.813695,training_window
22601,B,0.000194,0.832943,training_window
22602,A,0.000294,0.761039,training_window
22603,B,0.000184,0.842355,training_window
22604,A,0.000288,0.764814,training_window
22605,A,0.001283,0.376091,training_window
22606,A,0.000958,0.466572,training_window
22607,A,0.001345,0.364259,training_window
22608,C,0.000056,0.962126,training_window
22609,B,0.000109,0.910470,training_window
22610,A,0.000271,0.776262,training_window
22611,A,0.000296,0.759269,training_window
22612,A,0.000300,0.755695,training_window
22613,B,0.000150,0.867080,training_window
22614,B,0.000099,0.919170,training_window
22615,C,0.000059,0.958529,training_window
22616,A,0.000614,0.593157,training_window
22617,A,0.001029,0.446813,training_window
22618,A,0.000525,0.635399,training_window
22619,A,0.000688,0.562924,training_window
22620,A,0.000557,0.623501,training_window
22621,A,0.000503,0.645735,training_window
22622,A,0.001636,0.302353,training_window
22623,A,0.000661,0.570295,training_window
22624,A,0.001252,0.387504,training_window
22625,A,0.001107,0.419211,training_window
22626,A,0.000390,0.704122,training_window
22627,A,0.000634,0.583203,training_window
22628,A,0.000484,0.654125,training_window
22629,A,0.001859,0.264104,training_window
22630,A,0.001669,0.297420,training_window
22631,A,0.000587,0.605774,training_window
22632,A,0.001005,0.452907,training_window
22633,A,0.000717,0.546739,training_window
22634,A,0.000899,0.484124,training_window
22635,A,0.000905,0.481421,training_window
22636,A,0.000844,0.497129,training_window
22637,A,0.000513,0.644724,training_window
22638,C,0.000041,0.976571,training_window
22639,B,0.000226,0.810560,training_window
22640,C,0.000045,0.972196,training_window
22641,C,0.000040,0.977305,training_window
22642,B,0.000148,0.869914,training_window
22643,C,0.000059,0.958823,training_window
22644,A,0.000422,0.680474,training_window
22645,A,0.000577,0.611009,training_window
22646,A,0.000712,0.551742,training_window
22647,C,0.000060,0.957638,training_window
22649,A,0.000751,0.531259,training_window
22650,B,0.000148,0.869765,training_window
22651,B,0.000142,0.877157,training_window
22652,A,0.000981,0.457860,training_window
22653,A,0.000267,0.781107,training_window
22654,A,0.001024,0.448866,training_window
22655,A,0.000851,0.495438,training_window
22656,A,0.000657,0.572268,training_window
22657,C,0.000004,0.999282,training_window
22659,A,0.001544,0.318245,training_window
22660,A,0.000312,0.748042,training_window
22661,A,0.000308,0.750830,training_window
22662,A,0.000768,0.520649,training_window
22663,A,0.000534,0.631689,training_window
22664,B,0.000170,0.850684,training_window
22665,A,0.000566,0.618444,training_window
22666,A,0.001266,0.383727,training_window
22667,A,0.000633,0.583836,training_window
22668,A,0.000597,0.602221,training_window
22669,A,0.000439,0.675325,training_window
22670,A,0.000309,0.750522,training_window
22671,B,0.000138,0.881357,training_window
22672,A,0.000258,0.788733,training_window
22673,B,0.000087,0.929845,training_window
22674,B,0.000153,0.863748,training_window
22675,B,0.000143,0.875304,training_window
22676,B,0.000118,0.901058,training_window
22677,B,0.000103,0.915441,training_window
22678,B,0.000095,0.923045,training_window
22679,B,0.000086,0.930018,training_window
